block1,block2,block3,block4,block5,block6,block7,total_compute_time,total_comm_time,total_inference_time
E1,E1,E1,E2,E1,E2,E3,0.3372,0.04422848,0.38142848
E1,E1,E1,E2,E1,E2,C,0.33704999999999996,0.07750528,0.41455527999999997
E1,E1,E1,E2,E1,E3,E1,0.33746666666666664,0.047064063999999996,0.38453073066666665
E1,E1,E1,E2,E1,E3,E2,0.3372,0.046031296,0.383231296
E1,E1,E1,E2,E1,E3,E3,0.3372,0.044998527999999996,0.382198528
E1,E1,E1,E2,E1,E3,C,0.33704999999999996,0.07827532799999999,0.41532532799999994
E1,E1,E1,E2,E1,C,E1,0.32576666666666665,0.190622464,0.5163891306666666
E1,E1,E1,E2,E1,C,E2,0.3255,0.18958969599999997,0.515089696
E1,E1,E1,E2,E1,C,E3,0.3255,0.18855692799999998,0.514056928
E1,E1,E1,E2,E1,C,C,0.32535,0.155280128,0.48063012799999993
E1,E1,E1,E2,E2,E1,E1,0.2817333333333333,0.04059008,0.32232341333333325
E1,E1,E1,E2,E2,E1,E2,0.28146666666666664,0.041622848000000004,0.32308951466666663
E1,E1,E1,E2,E2,E1,E3,0.28146666666666664,0.042655616,0.32412228266666665
E1,E1,E1,E2,E2,E1,C,0.2813166666666666,0.075932416,0.3572490826666666
E1,E1,E1,E2,E2,E2,E1,0.2609333333333333,0.039820032000000005,0.3007533653333333
E1,E1,E1,E2,E2,E2,E2,0.26066666666666666,0.038787264,0.29945393066666665
E1,E1,E1,E2,E2,E2,E3,0.26066666666666666,0.039820032000000005,0.30048669866666666
E1,E1,E1,E2,E2,E2,C,0.2605166666666666,0.073096832,0.3336134986666666
E1,E1,E1,E2,E2,E3,E1,0.2609333333333333,0.042655616,0.3035889493333333
E1,E1,E1,E2,E2,E3,E2,0.26066666666666666,0.041622848000000004,0.30228951466666665
E1,E1,E1,E2,E2,E3,E3,0.26066666666666666,0.04059008,0.3012567466666667
E1,E1,E1,E2,E2,E3,C,0.2605166666666666,0.07386688,0.3343835466666666
E1,E1,E1,E2,E2,C,E1,0.2492333333333333,0.186214016,0.4354473493333333
E1,E1,E1,E2,E2,C,E2,0.24896666666666664,0.18518124800000002,0.4341479146666667
E1,E1,E1,E2,E2,C,E3,0.24896666666666664,0.18414848,0.4331151466666666
E1,E1,E1,E2,E2,C,C,0.24881666666666663,0.15087168,0.39968834666666664
E1,E1,E1,E2,E3,E1,E1,0.2817333333333333,0.044998527999999996,0.32673186133333326
E1,E1,E1,E2,E3,E1,E2,0.28146666666666664,0.046031296,0.32749796266666664
E1,E1,E1,E2,E3,E1,E3,0.28146666666666664,0.047064063999999996,0.32853073066666666
E1,E1,E1,E2,E3,E1,C,0.2813166666666666,0.08034086399999998,0.3616575306666666
E1,E1,E1,E2,E3,E2,E1,0.2609333333333333,0.04422848,0.3051618133333333
E1,E1,E1,E2,E3,E2,E2,0.26066666666666666,0.043195712,0.30386237866666665
E1,E1,E1,E2,E3,E2,E3,0.26066666666666666,0.04422848,0.30489514666666667
E1,E1,E1,E2,E3,E2,C,0.2605166666666666,0.07750528,0.33802194666666663
E1,E1,E1,E2,E3,E3,E1,0.2609333333333333,0.043458432,0.3043917653333333
E1,E1,E1,E2,E3,E3,E2,0.26066666666666666,0.042425664,0.30309233066666663
E1,E1,E1,E2,E3,E3,E3,0.26066666666666666,0.041392896,0.30205956266666667
E1,E1,E1,E2,E3,E3,C,0.2605166666666666,0.074669696,0.3351863626666666
E1,E1,E1,E2,E3,C,E1,0.2492333333333333,0.187016832,0.4362501653333333
E1,E1,E1,E2,E3,C,E2,0.24896666666666664,0.185984064,0.4349507306666667
E1,E1,E1,E2,E3,C,E3,0.24896666666666664,0.184951296,0.4339179626666666
E1,E1,E1,E2,E3,C,C,0.24881666666666663,0.151674496,0.4004911626666666
E1,E1,E1,E2,C,E1,E1,0.23868333333333333,0.345843328,0.5845266613333333
E1,E1,E1,E2,C,E1,E2,0.23841666666666667,0.346876096,0.5852927626666666
E1,E1,E1,E2,C,E1,E3,0.23841666666666667,0.347908864,0.5863255306666666
E1,E1,E1,E2,C,E1,C,0.23826666666666665,0.381185664,0.6194523306666666
E1,E1,E1,E2,C,E2,E1,0.21788333333333335,0.34507328,0.5629566133333334
E1,E1,E1,E2,C,E2,E2,0.21761666666666668,0.34404051199999997,0.5616571786666666
E1,E1,E1,E2,C,E2,E3,0.21761666666666668,0.34507328,0.5626899466666666
E1,E1,E1,E2,C,E2,C,0.21746666666666667,0.37835008,0.5958167466666666
E1,E1,E1,E2,C,E3,E1,0.21788333333333335,0.34430323199999996,0.5621865653333333
E1,E1,E1,E2,C,E3,E2,0.21761666666666668,0.343270464,0.5608871306666667
E1,E1,E1,E2,C,E3,E3,0.21761666666666668,0.342237696,0.5598543626666667
E1,E1,E1,E2,C,E3,C,0.21746666666666667,0.375514496,0.5929811626666667
E1,E1,E1,E2,C,C,E1,0.20618333333333333,0.26729843200000003,0.47348176533333336
E1,E1,E1,E2,C,C,E2,0.20591666666666666,0.266265664,0.4721823306666667
E1,E1,E1,E2,C,C,E3,0.20591666666666666,0.265232896,0.47114956266666663
E1,E1,E1,E2,C,C,C,0.20576666666666665,0.231956096,0.43772276266666665
E1,E1,E1,E3,E1,E1,E1,0.3582666666666666,0.048209792,0.4064764586666666
E1,E1,E1,E3,E1,E1,E2,0.358,0.049242560000000005,0.40724256
E1,E1,E1,E3,E1,E1,E3,0.358,0.050275328,0.408275328
E1,E1,E1,E3,E1,E1,C,0.35784999999999995,0.083552128,0.44140212799999995
E1,E1,E1,E3,E1,E2,E1,0.33746666666666664,0.051045376,0.3885120426666666
E1,E1,E1,E3,E1,E2,E2,0.3372,0.050012608,0.387212608
E1,E1,E1,E3,E1,E2,E3,0.3372,0.051045376,0.388245376
E1,E1,E1,E3,E1,E2,C,0.33704999999999996,0.084322176,0.421372176
E1,E1,E1,E3,E1,E3,E1,0.33746666666666664,0.05388096,0.3913476266666666
E1,E1,E1,E3,E1,E3,E2,0.3372,0.052848192,0.390048192
E1,E1,E1,E3,E1,E3,E3,0.3372,0.051815424,0.389015424
E1,E1,E1,E3,E1,E3,C,0.33704999999999996,0.085092224,0.42214222399999995
E1,E1,E1,E3,E1,C,E1,0.32576666666666665,0.19743935999999998,0.5232060266666666
E1,E1,E1,E3,E1,C,E2,0.3255,0.196406592,0.521906592
E1,E1,E1,E3,E1,C,E3,0.3255,0.19537382399999997,0.5208738239999999
E1,E1,E1,E3,E1,C,C,0.32535,0.16209702399999998,0.48744702399999995
E1,E1,E1,E3,E2,E1,E1,0.2817333333333333,0.047406976,0.32914030933333327
E1,E1,E1,E3,E2,E1,E2,0.28146666666666664,0.04843974400000001,0.32990641066666665
E1,E1,E1,E3,E2,E1,E3,0.28146666666666664,0.049472512,0.33093917866666667
E1,E1,E1,E3,E2,E1,C,0.2813166666666666,0.08274931199999999,0.36406597866666657
E1,E1,E1,E3,E2,E2,E1,0.2609333333333333,0.04663692800000001,0.3075702613333333
E1,E1,E1,E3,E2,E2,E2,0.26066666666666666,0.045604160000000005,0.30627082666666666
E1,E1,E1,E3,E2,E2,E3,0.26066666666666666,0.04663692800000001,0.3073035946666667
E1,E1,E1,E3,E2,E2,C,0.2605166666666666,0.079913728,0.34043039466666664
E1,E1,E1,E3,E2,E3,E1,0.2609333333333333,0.049472512,0.3104058453333333
E1,E1,E1,E3,E2,E3,E2,0.26066666666666666,0.04843974400000001,0.30910641066666666
E1,E1,E1,E3,E2,E3,E3,0.26066666666666666,0.047406976,0.30807364266666665
E1,E1,E1,E3,E2,E3,C,0.2605166666666666,0.080683776,0.3412004426666666
E1,E1,E1,E3,E2,C,E1,0.2492333333333333,0.193030912,0.4422642453333333
E1,E1,E1,E3,E2,C,E2,0.24896666666666664,0.19199814399999998,0.4409648106666666
E1,E1,E1,E3,E2,C,E3,0.24896666666666664,0.190965376,0.43993204266666663
E1,E1,E1,E3,E2,C,C,0.24881666666666663,0.157688576,0.40650524266666666
E1,E1,E1,E3,E3,E1,E1,0.2817333333333333,0.04660416,0.3283374933333333
E1,E1,E1,E3,E3,E1,E2,0.28146666666666664,0.047636928,0.32910359466666667
E1,E1,E1,E3,E3,E1,E3,0.28146666666666664,0.048669696,0.3301363626666666
E1,E1,E1,E3,E3,E1,C,0.2813166666666666,0.081946496,0.3632631626666666
E1,E1,E1,E3,E3,E2,E1,0.2609333333333333,0.045834112,0.3067674453333333
E1,E1,E1,E3,E3,E2,E2,0.26066666666666666,0.044801344,0.3054680106666667
E1,E1,E1,E3,E3,E2,E3,0.26066666666666666,0.045834112,0.30650077866666664
E1,E1,E1,E3,E3,E2,C,0.2605166666666666,0.079110912,0.3396275786666666
E1,E1,E1,E3,E3,E3,E1,0.2609333333333333,0.045064064,0.3059973973333333
E1,E1,E1,E3,E3,E3,E2,0.26066666666666666,0.044031296000000004,0.30469796266666666
E1,E1,E1,E3,E3,E3,E3,0.26066666666666666,0.042998528,0.30366519466666664
E1,E1,E1,E3,E3,E3,C,0.2605166666666666,0.076275328,0.33679199466666665
E1,E1,E1,E3,E3,C,E1,0.2492333333333333,0.188622464,0.4378557973333333
E1,E1,E1,E3,E3,C,E2,0.24896666666666664,0.18758969599999997,0.43655636266666664
E1,E1,E1,E3,E3,C,E3,0.24896666666666664,0.18655692799999998,0.4355235946666666
E1,E1,E1,E3,E3,C,C,0.24881666666666663,0.153280128,0.4020967946666666
E1,E1,E1,E3,C,E1,E1,0.23868333333333333,0.34744896,0.5861322933333333
E1,E1,E1,E3,C,E1,E2,0.23841666666666667,0.348481728,0.5868983946666666
E1,E1,E1,E3,C,E1,E3,0.23841666666666667,0.34951449599999995,0.5879311626666666
E1,E1,E1,E3,C,E1,C,0.23826666666666665,0.38279129599999995,0.6210579626666666
E1,E1,E1,E3,C,E2,E1,0.21788333333333335,0.346678912,0.5645622453333333
E1,E1,E1,E3,C,E2,E2,0.21761666666666668,0.345646144,0.5632628106666666
E1,E1,E1,E3,C,E2,E3,0.21761666666666668,0.346678912,0.5642955786666667
E1,E1,E1,E3,C,E2,C,0.21746666666666667,0.379955712,0.5974223786666667
E1,E1,E1,E3,C,E3,E1,0.21788333333333335,0.345908864,0.5637921973333333
E1,E1,E1,E3,C,E3,E2,0.21761666666666668,0.344876096,0.5624927626666667
E1,E1,E1,E3,C,E3,E3,0.21761666666666668,0.343843328,0.5614599946666667
E1,E1,E1,E3,C,E3,C,0.21746666666666667,0.377120128,0.5945867946666666
E1,E1,E1,E3,C,C,E1,0.20618333333333333,0.268904064,0.47508739733333333
E1,E1,E1,E3,C,C,E2,0.20591666666666666,0.267871296,0.4737879626666667
E1,E1,E1,E3,C,C,E3,0.20591666666666666,0.26683852799999996,0.4727551946666666
E1,E1,E1,E3,C,C,C,0.20576666666666665,0.233561728,0.4393283946666666
E1,E1,E1,C,E1,E1,E1,0.34641666666666665,0.589899392,0.9363160586666666
E1,E1,E1,C,E1,E1,E2,0.34615,0.5909321599999999,0.9370821599999999
E1,E1,E1,C,E1,E1,E3,0.34615,0.591964928,0.9381149280000001
E1,E1,E1,C,E1,E1,C,0.346,0.625241728,0.971241728
E1,E1,E1,C,E1,E2,E1,0.32561666666666667,0.5927349759999999,0.9183516426666666
E1,E1,E1,C,E1,E2,E2,0.32535000000000003,0.591702208,0.917052208
E1,E1,E1,C,E1,E2,E3,0.32535000000000003,0.5927349759999999,0.9180849759999999
E1,E1,E1,C,E1,E2,C,0.3252,0.6260117759999999,0.9512117759999998
E1,E1,E1,C,E1,E3,E1,0.32561666666666667,0.59557056,0.9211872266666666
E1,E1,E1,C,E1,E3,E2,0.32535000000000003,0.5945377919999999,0.9198877919999999
E1,E1,E1,C,E1,E3,E3,0.32535000000000003,0.5935050239999999,0.918855024
E1,E1,E1,C,E1,E3,C,0.3252,0.6267818239999999,0.951981824
E1,E1,E1,C,E1,C,E1,0.3139166666666667,0.73912896,1.0530456266666666
E1,E1,E1,C,E1,C,E2,0.31365000000000004,0.7380961919999999,1.051746192
E1,E1,E1,C,E1,C,E3,0.31365000000000004,0.7370634239999999,1.050713424
E1,E1,E1,C,E1,C,C,0.3135,0.7037866239999999,1.017286624
E1,E1,E1,C,E2,E1,E1,0.2698833333333333,0.5890965759999999,0.8589799093333332
E1,E1,E1,C,E2,E1,E2,0.26961666666666667,0.5901293439999998,0.8597460106666666
E1,E1,E1,C,E2,E1,E3,0.26961666666666667,0.5911621119999999,0.8607787786666665
E1,E1,E1,C,E2,E1,C,0.26946666666666663,0.6244389119999999,0.8939055786666665
E1,E1,E1,C,E2,E2,E1,0.24908333333333335,0.5883265279999998,0.8374098613333332
E1,E1,E1,C,E2,E2,E2,0.24881666666666669,0.5872937599999999,0.8361104266666666
E1,E1,E1,C,E2,E2,E3,0.24881666666666669,0.5883265279999998,0.8371431946666665
E1,E1,E1,C,E2,E2,C,0.24866666666666667,0.6216033279999998,0.8702699946666665
E1,E1,E1,C,E2,E3,E1,0.24908333333333335,0.5911621119999999,0.8402454453333332
E1,E1,E1,C,E2,E3,E2,0.24881666666666669,0.5901293439999998,0.8389460106666665
E1,E1,E1,C,E2,E3,E3,0.24881666666666669,0.5890965759999999,0.8379132426666666
E1,E1,E1,C,E2,E3,C,0.24866666666666667,0.6223733759999999,0.8710400426666666
E1,E1,E1,C,E2,C,E1,0.23738333333333334,0.7347205119999999,0.9721038453333333
E1,E1,E1,C,E2,C,E2,0.23711666666666667,0.7336877439999998,0.9708044106666665
E1,E1,E1,C,E2,C,E3,0.23711666666666667,0.7326549759999998,0.9697716426666665
E1,E1,E1,C,E2,C,C,0.23696666666666666,0.6993781759999999,0.9363448426666665
E1,E1,E1,C,E3,E1,E1,0.2698833333333333,0.5882937599999999,0.8581770933333333
E1,E1,E1,C,E3,E1,E2,0.26961666666666667,0.5893265279999998,0.8589431946666666
E1,E1,E1,C,E3,E1,E3,0.26961666666666667,0.5903592959999999,0.8599759626666665
E1,E1,E1,C,E3,E1,C,0.26946666666666663,0.6236360959999999,0.8931027626666665
E1,E1,E1,C,E3,E2,E1,0.24908333333333335,0.5875237119999999,0.8366070453333332
E1,E1,E1,C,E3,E2,E2,0.24881666666666669,0.5864909439999999,0.8353076106666666
E1,E1,E1,C,E3,E2,E3,0.24881666666666669,0.5875237119999999,0.8363403786666666
E1,E1,E1,C,E3,E2,C,0.24866666666666667,0.6208005119999999,0.8694671786666666
E1,E1,E1,C,E3,E3,E1,0.24908333333333335,0.586753664,0.8358369973333333
E1,E1,E1,C,E3,E3,E2,0.24881666666666669,0.5857208959999999,0.8345375626666666
E1,E1,E1,C,E3,E3,E3,0.24881666666666669,0.5846881279999999,0.8335047946666666
E1,E1,E1,C,E3,E3,C,0.24866666666666667,0.6179649279999999,0.8666315946666666
E1,E1,E1,C,E3,C,E1,0.23738333333333334,0.7303120639999999,0.9676953973333333
E1,E1,E1,C,E3,C,E2,0.23711666666666667,0.7292792959999999,0.9663959626666665
E1,E1,E1,C,E3,C,E3,0.23711666666666667,0.7282465279999999,0.9653631946666665
E1,E1,E1,C,E3,C,C,0.23696666666666666,0.6949697279999999,0.9319363946666666
E1,E1,E1,C,C,E1,E1,0.22683333333333333,0.5080121599999999,0.7348454933333333
E1,E1,E1,C,C,E1,E2,0.22656666666666667,0.5090449279999999,0.7356115946666666
E1,E1,E1,C,C,E1,E3,0.22656666666666667,0.510077696,0.7366443626666667
E1,E1,E1,C,C,E1,C,0.22641666666666665,0.543354496,0.7697711626666666
E1,E1,E1,C,C,E2,E1,0.20603333333333335,0.5072421119999999,0.7132754453333332
E1,E1,E1,C,C,E2,E2,0.20576666666666668,0.506209344,0.7119760106666666
E1,E1,E1,C,C,E2,E3,0.20576666666666668,0.5072421119999999,0.7130087786666666
E1,E1,E1,C,C,E2,C,0.20561666666666667,0.5405189119999999,0.7461355786666666
E1,E1,E1,C,C,E3,E1,0.20603333333333335,0.506472064,0.7125053973333333
E1,E1,E1,C,C,E3,E2,0.20576666666666668,0.5054392959999999,0.7112059626666666
E1,E1,E1,C,C,E3,E3,0.20576666666666668,0.504406528,0.7101731946666666
E1,E1,E1,C,C,E3,C,0.20561666666666667,0.537683328,0.7432999946666666
E1,E1,E1,C,C,C,E1,0.19433333333333333,0.4294672639999999,0.6238005973333333
E1,E1,E1,C,C,C,E2,0.19406666666666667,0.42843449599999994,0.6225011626666666
E1,E1,E1,C,C,C,E3,0.19406666666666667,0.4274017279999999,0.6214683946666666
E1,E1,E1,C,C,C,C,0.19391666666666665,0.39412492799999993,0.5880415946666666
E1,E1,E2,E1,E1,E1,E1,0.35746666666666665,0.046209792,0.4036764586666667
E1,E1,E2,E1,E1,E1,E2,0.3572,0.04724256,0.40444256
E1,E1,E2,E1,E1,E1,E3,0.3572,0.048275328,0.405475328
E1,E1,E2,E1,E1,E1,C,0.35705,0.081552128,0.438602128
E1,E1,E2,E1,E1,E2,E1,0.33666666666666667,0.049045376,0.3857120426666667
E1,E1,E2,E1,E1,E2,E2,0.33640000000000003,0.048012608,0.38441260800000004
E1,E1,E2,E1,E1,E2,E3,0.33640000000000003,0.049045376,0.38544537600000006
E1,E1,E2,E1,E1,E2,C,0.33625,0.082322176,0.41857217599999996
E1,E1,E2,E1,E1,E3,E1,0.33666666666666667,0.05188096,0.38854762666666665
E1,E1,E2,E1,E1,E3,E2,0.33640000000000003,0.050848192,0.38724819200000005
E1,E1,E2,E1,E1,E3,E3,0.33640000000000003,0.049815424,0.38621542400000003
E1,E1,E2,E1,E1,E3,C,0.33625,0.08309222399999999,0.419342224
E1,E1,E2,E1,E1,C,E1,0.3249666666666667,0.19543935999999998,0.5204060266666667
E1,E1,E2,E1,E1,C,E2,0.32470000000000004,0.194406592,0.519106592
E1,E1,E2,E1,E1,C,E3,0.32470000000000004,0.19337382399999997,0.518073824
E1,E1,E2,E1,E1,C,C,0.32455,0.16009702399999998,0.484647024
E1,E1,E2,E1,E2,E1,E1,0.2809333333333333,0.050618239999999995,0.3315515733333333
E1,E1,E2,E1,E2,E1,E2,0.2806666666666667,0.051651008,0.3323176746666667
E1,E1,E2,E1,E2,E1,E3,0.2806666666666667,0.052683775999999995,0.3333504426666667
E1,E1,E2,E1,E2,E1,C,0.28051666666666664,0.08596057599999998,0.3664772426666666
E1,E1,E2,E1,E2,E2,E1,0.2601333333333333,0.049848192,0.30998152533333334
E1,E1,E2,E1,E2,E2,E2,0.2598666666666667,0.048815423999999996,0.3086820906666667
E1,E1,E2,E1,E2,E2,E3,0.2598666666666667,0.049848192,0.3097148586666667
E1,E1,E2,E1,E2,E2,C,0.25971666666666665,0.083124992,0.34284165866666666
E1,E1,E2,E1,E2,E3,E1,0.2601333333333333,0.052683775999999995,0.31281710933333334
E1,E1,E2,E1,E2,E3,E2,0.2598666666666667,0.051651008,0.3115176746666667
E1,E1,E2,E1,E2,E3,E3,0.2598666666666667,0.050618239999999995,0.31048490666666667
E1,E1,E2,E1,E2,E3,C,0.25971666666666665,0.08389503999999999,0.3436117066666666
E1,E1,E2,E1,E2,C,E1,0.24843333333333334,0.196242176,0.44467550933333333
E1,E1,E2,E1,E2,C,E2,0.24816666666666667,0.19520940799999997,0.4433760746666666
E1,E1,E2,E1,E2,C,E3,0.24816666666666667,0.19417663999999998,0.44234330666666666
E1,E1,E2,E1,E2,C,C,0.24801666666666666,0.16089984,0.4089165066666667
E1,E1,E2,E1,E3,E1,E1,0.2809333333333333,0.055026688,0.3359600213333333
E1,E1,E2,E1,E3,E1,E2,0.2806666666666667,0.056059456,0.3367261226666667
E1,E1,E2,E1,E3,E1,E3,0.2806666666666667,0.057092224,0.33775889066666664
E1,E1,E2,E1,E3,E1,C,0.28051666666666664,0.09036902399999999,0.37088569066666666
E1,E1,E2,E1,E3,E2,E1,0.2601333333333333,0.05425664,0.31438997333333335
E1,E1,E2,E1,E3,E2,E2,0.2598666666666667,0.053223872,0.3130905386666667
E1,E1,E2,E1,E3,E2,E3,0.2598666666666667,0.05425664,0.3141233066666667
E1,E1,E2,E1,E3,E2,C,0.25971666666666665,0.08753343999999999,0.34725010666666667
E1,E1,E2,E1,E3,E3,E1,0.2601333333333333,0.053486592,0.3136199253333333
E1,E1,E2,E1,E3,E3,E2,0.2598666666666667,0.052453824,0.3123204906666667
E1,E1,E2,E1,E3,E3,E3,0.2598666666666667,0.051421056,0.3112877226666667
E1,E1,E2,E1,E3,E3,C,0.25971666666666665,0.08469785599999999,0.3444145226666666
E1,E1,E2,E1,E3,C,E1,0.24843333333333334,0.197044992,0.4454783253333333
E1,E1,E2,E1,E3,C,E2,0.24816666666666667,0.196012224,0.4441788906666667
E1,E1,E2,E1,E3,C,E3,0.24816666666666667,0.194979456,0.44314612266666664
E1,E1,E2,E1,E3,C,C,0.24801666666666666,0.161702656,0.40971932266666666
E1,E1,E2,E1,C,E1,E1,0.23788333333333334,0.35587148799999996,0.5937548213333332
E1,E1,E2,E1,C,E1,E2,0.23761666666666667,0.356904256,0.5945209226666667
E1,E1,E2,E1,C,E1,E3,0.23761666666666667,0.35793702399999994,0.5955536906666666
E1,E1,E2,E1,C,E1,C,0.23746666666666666,0.39121382399999993,0.6286804906666665
E1,E1,E2,E1,C,E2,E1,0.21708333333333335,0.35510144,0.5721847733333334
E1,E1,E2,E1,C,E2,E2,0.21681666666666669,0.354068672,0.5708853386666667
E1,E1,E2,E1,C,E2,E3,0.21681666666666669,0.35510144,0.5719181066666666
E1,E1,E2,E1,C,E2,C,0.21666666666666667,0.38837824,0.6050449066666667
